Question,Answer
700 + 931 - 879 + 464 - 506 + 733 - 616 + 878 - 530 - 713 - 415 - 812 + 695 + 313 + 516 + 628,1387
110 + 797 + 866 + 476 - 999 - 684 - 216 + 805 - 583 + 652 - 518 - 138 - 160 - 616 - 437 + 834,189
- 205 + 705 - 526 - 143 + 417 + 110 - 227 - 555 + 145 - 428 + 449 - 711 - 969 + 549 - 229 - 289,-1907
- 965 - 471 + 221 + 319 - 788 - 568 - 962 + 926 + 805 + 981 - 683 + 265 + 340 - 237 + 873 + 983,1039
942 + 808 + 275 - 597 - 889 - 596 - 753 - 269 + 536 + 333 - 752 + 583 + 820 + 737 - 516 + 631,1293
- 294 + 826 + 291 + 687 - 334 + 147 - 345 + 630 + 471 - 170 - 444 + 505 - 656 - 925 - 699 - 760,-1070
367 - 763 - 840 + 564 - 524 + 653 + 682 - 702 - 101 - 875 + 403 - 406 - 293 - 658 - 946 + 537,-2902
- 399 - 159 - 877 - 971 + 142 + 692 - 977 + 235 - 511 - 333 - 320 - 442 + 982 - 670 - 324 - 460,-4392
642 + 523 + 833 - 360 + 158 - 957 - 229 + 258 - 559 + 728 - 875 + 226 - 468 - 662 + 843 + 610,711
- 767 - 341 - 532 + 691 - 928 - 486 - 170 + 101 - 386 - 708 + 840 - 711 + 393 - 312 - 800 - 770,-4886
- 168 + 130 - 655 - 447 - 994 - 831 + 512 + 888 - 590 - 736 - 809 - 905 + 237 - 278 + 875 - 431,-4202
364 + 770 - 639 - 222 - 822 - 214 + 382 - 737 + 707 - 252 + 668 - 734 - 917 - 253 + 921 - 599,-1577
- 588 + 855 + 474 - 502 - 735 + 761 + 335 - 946 + 944 - 428 + 276 + 656 - 118 + 911 - 413 + 973,2455
- 625 + 644 + 475 - 946 + 987 + 590 + 728 + 627 + 809 + 363 - 469 - 606 - 453 + 160 - 189 - 622,1473
- 360 - 768 - 440 + 492 + 382 - 682 + 135 - 349 - 129 - 849 + 227 + 451 - 503 + 767 + 821 + 446,-359
- 429 + 130 - 348 + 459 + 749 + 914 - 350 + 536 + 589 + 206 + 416 + 917 + 102 + 306 - 260 + 842,4779
883 - 664 - 679 + 174 - 165 - 328 - 927 - 249 + 446 + 106 + 931 - 606 + 130 - 396 - 158 - 133,-1635
- 524 + 619 + 152 + 629 + 666 + 373 + 674 - 916 + 586 + 611 - 951 - 804 + 617 - 955 - 451 - 724,-398
- 874 + 132 - 495 - 458 + 778 + 674 - 794 - 785 - 370 + 467 + 666 + 250 - 905 + 484 - 764 + 477,-1517
- 493 - 481 - 822 + 825 - 687 + 289 - 749 - 643 - 418 - 840 + 310 + 435 - 774 - 363 + 396 - 677,-4692
330 + 413 - 105 - 562 + 420 + 201 - 590 + 507 - 600 + 227 - 452 + 151 + 524 + 369 - 735 - 945,-847
- 375 + 861 + 220 - 227 + 284 - 777 - 168 - 582 - 410 + 607 + 418 + 218 - 165 - 394 + 570 + 529,609
- 517 + 139 + 130 - 774 + 869 - 822 - 929 - 694 + 947 + 211 - 109 + 136 - 381 - 495 + 228 + 587,-1474
780 + 682 + 828 + 985 - 776 - 316 + 758 - 853 + 788 + 632 + 346 - 690 - 588 + 112 - 335 - 874,1479
145 + 632 + 361 + 297 + 256 + 660 + 705 - 262 + 586 - 783 - 873 + 456 - 344 + 572 + 834 + 136,3378
829 - 847 + 939 + 619 - 105 + 897 + 371 - 757 + 850 + 195 - 558 + 811 + 248 + 201 - 153 - 120,3420
- 133 + 534 - 101 + 389 + 559 + 820 - 454 + 531 + 707 + 839 - 857 + 495 - 146 - 615 - 928 - 552,1088
- 117 + 959 + 839 + 411 + 593 - 752 + 239 - 771 - 617 + 121 - 697 + 233 + 770 - 508 + 343 - 738,308
978 + 928 + 410 - 197 - 475 - 937 + 128 + 395 - 800 + 446 + 299 - 440 + 322 - 842 + 990 + 232,1437
- 758 + 973 - 585 - 967 + 434 + 877 + 276 + 639 + 287 + 392 - 124 + 605 - 721 + 475 - 747 + 690,1746
826 + 394 + 258 + 828 - 504 + 915 + 816 + 100 + 799 - 268 - 318 - 907 - 455 + 382 - 186 + 234,2914
913 - 216 + 831 + 543 - 490 - 723 - 198 - 870 + 844 - 772 - 241 - 278 - 889 + 754 + 641 + 448,297
400 - 172 + 493 + 970 - 625 - 452 - 783 + 292 + 754 + 338 - 137 + 734 + 931 - 944 + 728 + 410,2937
- 301 - 263 - 107 + 925 - 438 - 959 + 266 + 840 + 926 - 203 + 124 - 924 + 128 - 840 + 855 - 625,-596
- 631 + 255 - 216 - 128 - 946 - 499 - 286 + 365 - 945 - 820 + 909 + 715 + 499 + 309 + 141 + 680,-598
- 870 + 995 + 853 - 344 - 812 - 163 - 549 + 908 + 751 - 112 + 435 - 782 - 185 - 890 + 136 + 794,165
751 + 605 + 804 - 864 + 868 - 971 - 959 + 896 + 906 + 335 - 319 - 988 - 519 + 902 + 487 + 730,2664
- 806 + 365 + 226 + 867 - 457 + 778 - 786 - 375 - 841 + 310 - 611 + 864 + 397 + 820 + 754 - 377,1128
985 - 488 + 297 - 705 + 576 - 269 + 848 - 712 + 827 - 939 + 997 - 584 - 288 + 158 - 301 - 525,-123
674 - 399 + 875 + 681 + 558 - 764 + 689 - 361 + 614 - 650 + 395 + 252 + 198 + 378 - 721 + 472,2891
- 232 + 743 + 540 - 576 - 367 + 952 - 831 - 434 - 938 - 278 - 694 - 116 - 803 - 334 - 629 - 768,-4765
- 649 - 460 - 294 + 523 + 949 - 837 - 875 - 836 + 100 - 160 + 741 + 771 + 942 + 400 - 466 + 944,793
- 396 + 103 + 473 - 259 + 949 - 237 + 482 + 789 + 845 + 536 + 309 - 806 - 333 + 449 - 186 + 386,3104
698 - 188 + 895 - 275 - 240 - 527 - 289 - 694 - 681 + 282 - 986 - 307 + 825 - 384 - 268 - 780,-2919
710 + 356 + 483 - 154 + 490 - 903 - 429 + 861 - 230 + 900 + 736 + 469 - 249 - 707 + 441 + 874,3648
174 + 910 - 756 - 579 - 684 + 251 + 453 - 466 + 918 + 377 - 839 + 236 + 507 + 206 - 636 - 343,-271
571 + 727 + 373 - 592 - 346 + 213 - 901 + 452 - 161 - 719 - 187 + 779 + 728 - 579 - 434 + 515,439
- 830 - 253 - 328 - 855 + 648 - 578 - 597 - 219 + 477 + 261 + 628 + 962 + 241 + 555 + 499 + 132,743
- 144 - 330 + 405 - 809 + 663 - 312 - 490 - 608 + 431 - 810 - 515 + 453 - 512 - 386 - 320 + 919,-2365
663 - 144 - 288 - 329 - 748 - 101 + 682 + 826 + 353 - 814 - 413 - 969 - 748 + 395 + 982 - 678,-1331
- 187 - 399 - 148 + 434 + 938 + 318 + 177 - 795 - 896 - 378 + 302 + 142 - 359 - 659 + 819 + 425,-266
- 606 - 955 - 136 - 170 + 474 - 473 + 510 - 213 - 703 + 302 + 941 + 522 - 468 - 661 - 177 + 547,-1266
374 + 868 - 287 - 203 + 557 - 323 + 473 - 666 + 410 + 541 - 675 - 838 + 345 - 848 - 976 - 521,-1769
617 + 210 + 611 + 393 + 999 - 778 - 755 + 840 - 995 + 173 - 546 + 839 - 982 - 104 - 712 - 345,-535
357 - 346 + 122 + 674 + 247 - 178 - 172 - 555 + 989 - 483 + 999 - 301 - 548 - 249 - 203 - 763,-410
- 875 - 113 + 922 - 383 + 774 + 700 - 276 + 256 + 885 + 257 + 685 + 492 - 376 - 623 - 847 + 150,1628
- 981 - 597 - 206 - 479 - 385 - 414 - 767 - 980 - 272 + 910 - 624 - 562 - 408 + 597 - 399 - 428,-5995
- 634 + 460 - 477 - 193 - 890 + 675 + 531 - 595 + 265 + 105 - 638 - 780 - 460 - 442 + 299 - 867,-3641
144 - 425 + 942 - 800 + 451 + 402 - 548 - 956 + 169 + 902 + 229 - 476 - 336 - 581 + 959 + 141,217
792 + 860 - 350 + 461 + 668 + 489 + 197 + 199 + 304 + 175 - 741 - 901 + 144 + 138 + 108 + 614,3157
499 + 384 + 929 - 636 + 754 - 450 + 155 - 932 + 544 - 250 - 153 + 617 + 581 + 846 + 683 - 682,2889
- 561 + 763 - 533 + 425 - 305 - 312 + 409 - 158 - 504 + 400 - 392 - 901 - 296 - 332 + 280 + 960,-1057
576 + 378 - 328 + 225 + 852 - 464 - 529 + 956 + 731 + 583 - 196 + 243 + 625 + 393 - 962 - 934,2149
- 493 - 374 - 779 + 281 - 245 - 850 - 693 + 715 - 799 + 627 - 854 - 977 - 572 + 735 + 395 - 269,-4152
894 + 496 + 768 - 887 - 466 + 804 - 637 + 642 - 667 + 985 - 584 + 670 + 608 + 705 + 327 - 180,3478
210 - 732 - 239 + 501 + 158 + 396 + 144 + 495 + 580 + 160 + 951 + 784 + 152 - 970 - 566 - 711,1313
681 - 891 - 837 - 842 + 379 + 152 - 657 - 418 + 540 + 223 + 501 + 740 - 705 + 611 - 598 + 608,-513
- 201 - 598 - 617 - 394 - 259 - 556 - 416 + 522 + 421 - 687 + 644 + 540 - 434 + 393 - 719 - 503,-2864
- 697 + 232 - 313 + 360 + 116 + 730 - 311 - 329 + 447 + 732 + 929 + 118 - 430 + 457 - 209 - 745,1087
- 128 + 248 - 835 + 762 - 714 + 602 - 851 + 952 + 201 + 468 + 553 - 174 - 306 - 643 + 718 - 656,197
- 772 - 377 + 216 + 719 + 964 + 772 - 303 - 786 + 102 - 140 - 336 + 342 - 287 - 612 + 507 - 818,-809
- 385 - 460 + 200 - 954 + 612 - 930 - 897 - 692 - 383 + 149 + 955 - 489 - 901 + 198 - 929 + 350,-4556
- 321 - 919 + 905 - 867 - 739 + 543 - 583 + 915 - 734 + 412 - 581 + 735 + 596 + 702 + 243 + 122,429
348 - 681 + 925 - 747 - 260 + 588 - 250 - 247 + 864 + 218 + 787 - 540 + 895 - 234 + 725 + 684,3075
- 214 + 387 - 356 + 316 - 240 + 942 - 596 + 323 + 889 + 441 - 367 + 451 + 890 - 816 + 587 - 180,2457
591 - 708 - 915 - 733 + 602 + 714 + 327 + 325 - 115 + 994 - 851 - 225 - 678 + 974 - 659 + 392,35
- 240 - 823 - 452 + 123 - 704 + 229 + 400 - 462 - 524 - 208 - 142 + 537 - 246 + 600 + 694 + 561,-657
- 910 - 982 - 269 + 159 - 603 + 639 + 876 + 867 - 391 + 679 - 171 + 839 - 171 + 950 - 604 - 313,595
135 + 578 - 692 + 907 - 529 - 210 - 881 - 579 - 834 - 507 + 199 + 167 - 902 + 569 - 439 + 384,-2634
